"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 25 16:53:20 BRT 2023","Tue Apr 25 16:53:29 BRT 2023","9611","Cadastro Garantia Estendida","Cadastro","","","","Cadastrar Garantia Estendida",""
"passed","Tue Apr 25 16:25:42 BRT 2023","Tue Apr 25 16:25:52 BRT 2023","10351","Cadastro Serviços","Alterar","","","","Alterar Serviços",""
"passed","Tue Apr 25 16:37:27 BRT 2023","Tue Apr 25 16:37:46 BRT 2023","19156","Cadastro Exceção IPI","Cadastro","","","","Cadastro Exceção IPI",""
"passed","Tue Apr 25 16:10:37 BRT 2023","Tue Apr 25 16:10:52 BRT 2023","15116","Cadastro Função Grupo","Cadastro","","","","Cadastrar Função Grupo",""
"passed","Tue Apr 25 16:24:54 BRT 2023","Tue Apr 25 16:25:06 BRT 2023","11986","Cadastro Premiação Aleatoria","Alterar","","","","Alterar Premiação Aleatoria",""
"passed","Tue Apr 25 16:48:23 BRT 2023","Tue Apr 25 16:48:38 BRT 2023","15553","Cadastro Chaves criptografia PDV","Cadastro","","","","Cadastrar Chaves criptografia PDV",""
"passed","Tue Apr 25 16:42:26 BRT 2023","Tue Apr 25 16:42:42 BRT 2023","16131","Cadastro Regras de imposto ISS","Alterar","","","","Alterar Regras de imposto ISS",""
"passed","Tue Apr 25 16:18:50 BRT 2023","Tue Apr 25 16:19:05 BRT 2023","15282","Cadastro Moeda","Cadastro","","","","Cadastrar Moeda",""
"passed","Tue Apr 25 16:40:31 BRT 2023","Tue Apr 25 16:40:44 BRT 2023","12566","Cadastro Tributacao pdv","Alterar","","","","Alterar Tributacao pdv",""
"passed","Tue Apr 25 16:31:28 BRT 2023","Tue Apr 25 16:31:44 BRT 2023","16035","Cadastro CST de entrada","Cadastro","","","","Cadastrar CST de entrada",""
"passed","Tue Apr 25 16:40:44 BRT 2023","Tue Apr 25 16:40:55 BRT 2023","11568","Cadastro Tributacao pdv","Excluir","","","","Excluir Tributacao pdv",""
"passed","Tue Apr 25 16:21:15 BRT 2023","Tue Apr 25 16:21:30 BRT 2023","15413","Cadastro Grupos de notificações","Cadastro","","","","Cadastrar Grupos de notificações",""
"passed","Tue Apr 25 16:18:29 BRT 2023","Tue Apr 25 16:18:42 BRT 2023","12618","Cadastro Produto Sugerido","Excluir","","","","Excluir Produto Sugerido",""
"passed","Tue Apr 25 17:00:09 BRT 2023","Tue Apr 25 17:00:19 BRT 2023","10178","Cadastro Serviços","Cadastro","","","","Cadastrar Serviços",""
"passed","Tue Apr 25 16:03:23 BRT 2023","Tue Apr 25 16:03:38 BRT 2023","14637","Cadastro Clientes PF","Excluir","","","","Excluir cliente PF",""
"passed","Tue Apr 25 16:58:07 BRT 2023","Tue Apr 25 16:58:19 BRT 2023","11888","Cadastro Motivos","Excluir","","","","Excluir Motivos",""
"passed","Tue Apr 25 16:50:24 BRT 2023","Tue Apr 25 16:50:35 BRT 2023","10866","Cadastro Cupom Promocional","Excluir","","","","Excluir Cupom Promocional",""
